gender,category,preferred_stream,entrance_exam,entrance_score,board_percentage,scholarship_eligibility,admission_status
male,st,commerce,none,0,85.82,no,rejected
male,sc,commerce,none,0,88.91,no,rejected
male,obc,commerce,none,0,96.53,no,rejected
other,ews,medical,neet,397,91.08,yes,admitted
male,obc,arts,none,0,80.38,no,rejected
other,ews,architecture,cet,107,98.29,no,rejected
male,st,arts,none,0,70.38,yes,admitted
male,ews,architecture,none,0,92.95,no,rejected
female,general,engineering,jee,72,86.28,no,rejected
other,ews,agriculture,cet,194,96.13,no,rejected
male,general,pharmacy,cet,100,62.27,no,rejected
male,st,management,none,0,68.05,no,rejected
other,st,law,none,0,69.34,no,rejected
male,general,management,none,0,85.24,yes,admitted
male,general,pharmacy,cet,99,77.35,no,rejected
male,general,medical,neet,438,59.25,no,rejected
other,general,science,none,0,68.75,no,rejected
other,general,computer applications,none,0,91.94,yes,admitted
other,ews,arts,cet,141,80.62,yes,admitted
female,obc,engineering,jee,140,83.35,no,rejected
male,ews,pharmacy,cet,42,56.27,no,rejected
male,general,management,none,0,74.28,no,rejected
other,st,agriculture,cet,82,94.38,no,rejected
other,sc,computer applications,cet,123,94.84,yes,admitted
male,sc,nursing,cet,49,96.79,no,rejected
other,st,science,none,0,93.83,no,rejected
other,obc,management,none,0,64.58,no,rejected
other,general,commerce,none,0,70.07,no,rejected
other,obc,agriculture,cet,35,84.75,no,rejected
male,sc,management,none,0,88.28,no,rejected
other,ews,computer applications,none,0,83.08,no,admitted
male,ews,architecture,cet,29,78.47,no,rejected
female,general,law,cet,73,98.69,no,rejected
other,general,law,none,0,85.47,yes,admitted
male,general,arts,cet,156,53.48,no,rejected
other,general,medical,neet,322,51.64,no,rejected
other,sc,pharmacy,cet,61,92.05,no,rejected
female,general,architecture,cet,134,66.27,no,admitted
male,ews,management,cet,158,61.45,no,rejected
male,sc,engineering,jee,24,77.8,no,rejected
other,st,architecture,none,0,83.4,no,admitted
male,ews,commerce,none,0,77.9,no,rejected
other,general,management,cet,188,85.93,yes,admitted
male,sc,law,cet,20,73.9,no,rejected
female,st,nursing,cet,144,94.08,no,rejected
female,ews,medical,neet,37,84.02,no,rejected
male,ews,commerce,none,0,74.99,yes,admitted
other,obc,management,cet,60,89.58,yes,admitted
other,obc,science,none,0,50.71,no,rejected
male,st,commerce,none,0,98.46,no,rejected
other,st,architecture,cet,76,65.51,no,rejected
other,obc,pharmacy,cet,39,54.98,no,admitted
other,sc,medical,neet,145,66.97,no,rejected
female,ews,commerce,none,0,86.15,yes,admitted
female,obc,architecture,cet,72,56.6,no,rejected
female,obc,engineering,cet,153,66.56,yes,admitted
male,ews,nursing,cet,98,63.66,yes,admitted
male,st,arts,cet,165,50.68,no,admitted
male,obc,law,none,0,57.56,no,rejected
male,obc,architecture,cet,161,74.88,no,rejected
other,ews,science,none,0,54.64,no,rejected
female,obc,pharmacy,none,0,94.61,yes,admitted
female,st,nursing,none,0,55.68,no,rejected
other,sc,nursing,cet,48,55.63,no,rejected
other,obc,arts,cet,89,65.94,no,admitted
other,obc,nursing,cet,123,80.79,no,admitted
male,st,medical,neet,199,86.53,no,rejected
male,ews,agriculture,cet,97,59.51,no,admitted
male,general,arts,none,0,59.47,no,rejected
male,ews,commerce,none,0,62.32,no,rejected
female,obc,medical,neet,214,94.53,no,rejected
other,st,architecture,cet,40,73.8,no,rejected
female,obc,engineering,jee,22,89.99,yes,admitted
other,obc,management,none,0,93.09,no,rejected
female,ews,engineering,cet,127,82.85,no,admitted
other,st,pharmacy,cet,96,72.85,no,rejected
male,ews,law,cet,147,96.62,yes,admitted
male,general,nursing,cet,13,57.49,no,rejected
other,obc,law,none,0,59.33,no,rejected
female,general,commerce,cet,167,74.72,yes,admitted
female,sc,management,cet,191,62.54,no,admitted
other,sc,agriculture,cet,60,90.31,no,rejected
other,ews,pharmacy,cet,194,65.65,no,rejected
male,obc,computer applications,none,0,94.1,no,rejected
female,st,agriculture,none,0,88.2,no,rejected
female,ews,law,none,0,86.3,no,rejected
female,general,agriculture,cet,30,77.96,no,rejected
other,sc,computer applications,cet,106,97.1,no,rejected
other,obc,science,none,0,94.34,yes,admitted
male,general,law,none,0,61.96,no,rejected
female,sc,engineering,jee,279,50.59,no,rejected
female,obc,computer applications,none,0,93.31,no,rejected
female,obc,management,none,0,51.29,no,rejected
male,obc,engineering,jee,129,81.94,no,admitted
female,sc,engineering,jee,279,91.32,yes,admitted
other,obc,architecture,cet,40,50.64,no,rejected
male,st,arts,none,0,61.86,no,rejected
female,obc,engineering,jee,85,90.3,no,rejected
other,st,engineering,cet,128,86.04,yes,admitted
female,sc,agriculture,cet,11,64.0,no,rejected
female,obc,law,none,0,65.52,no,rejected
male,ews,computer applications,cet,47,97.24,no,rejected
male,st,law,none,0,57.11,no,rejected
female,sc,nursing,cet,141,74.04,no,rejected
other,sc,agriculture,cet,26,70.19,no,rejected
male,st,agriculture,cet,73,75.27,no,rejected
male,st,architecture,cet,111,71.13,no,admitted
other,st,engineering,jee,227,60.26,no,rejected
other,general,arts,cet,104,89.87,no,rejected
male,obc,medical,neet,51,79.55,no,rejected
female,sc,pharmacy,cet,118,77.61,no,admitted
female,sc,law,none,0,97.09,no,rejected
male,obc,pharmacy,cet,91,83.36,no,rejected
male,ews,nursing,cet,78,72.89,no,rejected
male,obc,science,none,0,91.25,no,rejected
female,sc,agriculture,cet,66,95.59,no,rejected
male,st,computer applications,cet,163,59.38,no,rejected
female,obc,law,none,0,69.73,no,admitted
male,sc,law,none,0,86.83,no,rejected
male,st,arts,cet,128,84.45,no,rejected
male,obc,architecture,cet,6,58.68,yes,admitted
female,ews,computer applications,cet,141,73.23,no,rejected
male,sc,engineering,jee,87,72.15,no,admitted
male,st,nursing,cet,189,64.42,no,rejected
male,st,medical,neet,324,63.2,no,rejected
other,ews,medical,neet,250,83.19,yes,admitted
female,st,architecture,cet,24,91.44,yes,admitted
other,sc,medical,neet,93,94.1,yes,admitted
male,st,management,none,0,51.3,no,admitted
female,sc,science,none,0,65.14,no,admitted
male,ews,commerce,none,0,86.77,no,rejected
male,sc,architecture,cet,148,78.51,no,rejected
male,st,nursing,none,0,94.13,no,rejected
male,obc,science,cet,192,96.66,yes,admitted
male,general,agriculture,cet,79,56.45,no,rejected
male,sc,architecture,cet,114,55.03,no,rejected
male,ews,pharmacy,cet,190,79.69,no,admitted
other,st,agriculture,cet,186,72.92,no,rejected
male,obc,architecture,cet,137,63.93,no,rejected
female,ews,computer applications,none,0,62.83,no,rejected
female,st,architecture,cet,166,81.42,no,rejected
female,sc,law,none,0,62.47,no,rejected
other,ews,commerce,cet,103,54.68,no,rejected
female,st,commerce,cet,98,94.91,yes,admitted
male,obc,engineering,cet,87,83.94,no,rejected
male,general,commerce,none,0,93.06,no,rejected
male,obc,computer applications,none,0,58.63,no,rejected
other,general,commerce,none,0,56.27,no,admitted
female,general,law,none,0,86.79,yes,admitted
male,sc,arts,none,0,72.22,no,rejected
female,ews,agriculture,none,0,96.06,no,rejected
female,st,pharmacy,none,0,91.64,no,rejected
male,sc,arts,cet,17,65.59,no,admitted
other,obc,nursing,cet,121,93.17,no,rejected
other,st,engineering,jee,89,54.79,no,rejected
female,sc,medical,neet,516,50.78,no,admitted
other,general,medical,neet,503,67.41,no,admitted
male,sc,medical,neet,232,98.06,yes,admitted
other,general,medical,neet,528,82.08,no,admitted
female,sc,management,cet,34,80.78,no,rejected
other,general,management,none,0,74.3,no,rejected
other,obc,engineering,jee,75,51.75,no,rejected
female,ews,engineering,jee,204,74.8,no,admitted
male,general,agriculture,cet,128,84.1,no,rejected
other,general,computer applications,none,0,80.1,no,admitted
female,obc,computer applications,none,0,77.21,no,rejected
female,ews,management,cet,175,72.93,no,rejected
other,ews,law,none,0,90.43,no,rejected
other,st,commerce,none,0,71.16,no,admitted
male,st,commerce,none,0,86.83,yes,admitted
female,ews,pharmacy,cet,20,75.71,no,rejected
other,obc,engineering,jee,210,94.63,yes,admitted
male,sc,nursing,cet,42,56.06,no,rejected
female,general,nursing,cet,68,86.12,no,rejected
male,sc,engineering,jee,36,56.37,no,rejected
male,ews,pharmacy,cet,62,96.92,no,rejected
female,general,arts,cet,40,92.49,no,rejected
other,st,arts,cet,104,68.24,no,admitted
female,sc,arts,cet,33,88.98,no,rejected
male,ews,pharmacy,none,0,54.02,no,rejected
other,sc,nursing,cet,115,82.78,yes,admitted
male,sc,management,none,0,95.73,yes,admitted
male,general,nursing,none,0,51.0,no,rejected
female,sc,commerce,cet,143,69.17,no,admitted
other,ews,agriculture,none,0,61.58,no,rejected
male,general,arts,none,0,74.14,no,rejected
male,general,arts,none,0,89.28,yes,admitted
other,ews,engineering,jee,119,68.69,no,rejected
female,obc,agriculture,cet,183,67.59,no,rejected
other,st,medical,neet,92,73.44,yes,admitted
female,st,law,none,0,62.82,no,rejected
male,sc,nursing,none,0,90.89,no,rejected
male,sc,architecture,none,0,56.89,no,rejected
female,st,medical,neet,634,86.33,yes,admitted
female,obc,nursing,cet,119,58.53,no,admitted
other,general,architecture,none,0,75.29,no,rejected
male,ews,science,none,0,92.69,no,rejected
male,general,commerce,none,0,74.6,no,rejected
male,general,agriculture,cet,78,59.33,no,rejected
female,st,architecture,cet,5,51.22,no,rejected
other,sc,arts,none,0,78.17,no,rejected
other,obc,commerce,none,0,77.19,no,rejected
male,general,agriculture,none,0,95.67,no,rejected
female,obc,arts,none,0,95.19,yes,admitted
other,general,pharmacy,none,0,83.2,no,admitted
male,sc,engineering,jee,257,53.2,no,rejected
other,sc,science,none,0,76.35,yes,admitted
male,ews,computer applications,cet,188,58.09,no,rejected
male,ews,computer applications,none,0,55.07,no,rejected
male,sc,nursing,cet,18,92.82,no,rejected
other,sc,medical,neet,190,58.75,no,rejected
other,st,pharmacy,none,0,90.24,yes,admitted
other,obc,medical,neet,409,60.87,no,rejected
other,st,management,none,0,58.33,no,admitted
other,general,medical,neet,241,73.5,no,rejected
female,ews,medical,neet,435,59.13,no,rejected
other,ews,agriculture,cet,117,87.94,no,rejected
male,ews,medical,neet,295,98.24,yes,admitted
female,obc,agriculture,cet,145,78.21,yes,admitted
other,st,management,none,0,62.49,no,rejected
other,sc,pharmacy,cet,4,91.48,no,rejected
female,ews,medical,neet,453,65.76,no,admitted
male,general,commerce,cet,66,70.58,no,rejected
other,obc,science,cet,44,66.92,no,rejected
male,general,arts,none,0,95.49,no,rejected
other,ews,science,none,0,55.03,no,rejected
other,general,science,cet,0,53.05,no,rejected
other,general,commerce,none,0,66.49,no,rejected
male,general,engineering,cet,5,82.68,yes,admitted
male,ews,agriculture,none,0,52.51,no,rejected
female,sc,agriculture,cet,161,76.45,no,admitted
female,general,commerce,cet,168,96.88,yes,admitted
female,obc,science,none,0,79.18,yes,admitted
male,sc,agriculture,cet,199,71.47,no,rejected
female,ews,engineering,cet,174,84.71,yes,admitted
other,obc,computer applications,none,0,90.66,yes,admitted
other,general,medical,neet,149,82.46,no,rejected
female,st,engineering,jee,62,70.91,yes,admitted
male,sc,nursing,cet,154,56.64,no,rejected
male,general,pharmacy,cet,95,70.39,no,admitted
male,sc,arts,none,0,75.62,no,admitted
male,sc,engineering,jee,267,81.0,no,rejected
other,obc,architecture,cet,8,73.89,no,admitted
female,obc,pharmacy,cet,57,94.98,yes,admitted
other,general,engineering,jee,60,98.31,no,rejected
male,ews,management,none,0,73.68,no,rejected
other,general,pharmacy,cet,129,58.04,no,admitted
male,sc,agriculture,none,0,57.02,no,rejected
male,general,management,cet,147,78.64,no,admitted
other,ews,architecture,cet,49,50.88,no,rejected
other,obc,engineering,jee,248,58.98,yes,admitted
female,ews,science,none,0,89.05,yes,admitted
female,general,commerce,none,0,54.32,no,rejected
other,obc,nursing,none,0,57.35,no,admitted
other,obc,commerce,none,0,99.49,yes,admitted
male,general,pharmacy,none,0,83.13,no,rejected
male,sc,agriculture,cet,13,89.3,no,rejected
male,sc,engineering,cet,1,78.32,no,rejected
female,sc,architecture,cet,115,79.35,no,admitted
male,sc,agriculture,cet,190,73.03,no,rejected
female,general,agriculture,cet,58,59.08,no,rejected
male,obc,pharmacy,cet,117,97.51,yes,admitted
female,sc,arts,none,0,94.58,yes,admitted
other,st,science,cet,172,59.3,no,rejected
male,obc,architecture,none,0,87.07,no,rejected
male,sc,agriculture,cet,20,62.91,no,rejected
female,ews,pharmacy,none,0,89.18,no,rejected
male,st,architecture,cet,191,87.17,no,rejected
female,general,commerce,cet,124,82.39,no,rejected
other,obc,management,none,0,86.91,no,rejected
female,general,law,cet,35,90.29,no,rejected
male,ews,arts,none,0,77.05,no,admitted
female,ews,science,cet,101,55.5,no,rejected
other,sc,architecture,none,0,76.84,no,admitted
male,obc,engineering,cet,30,86.7,no,rejected
other,st,nursing,cet,6,67.7,no,rejected
other,general,nursing,none,0,96.67,no,rejected
male,st,nursing,cet,40,73.97,no,rejected
female,ews,nursing,cet,172,64.72,yes,admitted
male,general,agriculture,none,0,95.64,no,rejected
female,sc,computer applications,none,0,74.15,no,rejected
other,general,law,none,0,53.19,no,rejected
other,st,science,cet,93,64.61,no,rejected
male,st,engineering,cet,68,59.33,no,admitted
female,general,engineering,jee,95,94.03,yes,admitted
male,ews,management,none,0,65.16,no,rejected
male,obc,science,none,0,73.84,no,rejected
other,sc,medical,neet,634,69.93,no,rejected
female,obc,agriculture,cet,128,73.28,no,rejected
female,ews,medical,neet,634,75.61,yes,admitted
other,st,medical,neet,334,68.05,no,rejected
other,ews,law,cet,149,58.67,no,rejected
male,obc,science,none,0,87.97,yes,admitted
male,sc,engineering,jee,6,69.75,no,rejected
female,sc,management,none,0,90.38,no,rejected
other,obc,pharmacy,cet,136,72.45,no,admitted
male,ews,law,none,0,99.53,no,rejected
female,ews,science,none,0,98.99,no,rejected
other,ews,architecture,cet,149,95.83,yes,admitted
other,sc,pharmacy,cet,175,76.51,no,rejected
female,general,pharmacy,cet,70,56.44,no,rejected
other,general,nursing,none,0,77.11,no,admitted
other,sc,pharmacy,cet,111,70.1,no,rejected
other,ews,nursing,cet,132,53.48,no,rejected
other,st,agriculture,cet,146,74.24,yes,admitted
other,st,medical,neet,604,87.22,yes,admitted
male,st,science,cet,68,82.31,no,rejected
male,ews,management,cet,21,90.21,no,rejected
female,ews,medical,neet,634,96.48,yes,admitted
other,obc,management,none,0,88.32,yes,admitted
other,st,arts,none,0,79.95,no,admitted
other,obc,commerce,cet,119,82.33,no,rejected
male,st,pharmacy,cet,33,79.62,yes,admitted
other,general,commerce,none,0,62.08,no,rejected
male,general,law,cet,186,56.8,no,admitted
male,general,computer applications,none,0,81.24,no,rejected
other,sc,pharmacy,cet,196,99.53,yes,admitted
other,ews,nursing,cet,26,63.68,no,admitted
female,sc,law,cet,183,90.63,no,rejected
male,sc,computer applications,none,0,74.26,no,rejected
male,st,pharmacy,cet,121,80.3,no,rejected
other,ews,agriculture,cet,35,74.05,no,rejected
male,sc,nursing,cet,43,65.4,no,rejected
female,st,agriculture,none,0,95.57,no,rejected
male,sc,engineering,jee,58,66.88,no,rejected
male,ews,medical,neet,307,56.23,no,rejected
other,sc,nursing,cet,160,67.5,no,rejected
other,ews,computer applications,none,0,82.91,no,rejected
female,ews,architecture,cet,146,74.28,no,rejected
female,ews,architecture,cet,87,62.16,no,rejected
female,obc,engineering,cet,168,98.02,yes,admitted
female,obc,pharmacy,none,0,78.8,no,rejected
other,st,engineering,jee,290,97.16,yes,admitted
other,ews,architecture,cet,185,82.68,no,admitted
male,st,pharmacy,none,0,52.04,no,rejected
male,st,architecture,cet,47,85.76,yes,admitted
other,sc,management,cet,160,70.65,no,rejected
female,ews,nursing,cet,35,79.62,no,rejected
female,sc,pharmacy,cet,173,80.94,no,rejected
other,st,computer applications,none,0,94.04,no,rejected
female,sc,law,none,0,51.53,no,rejected
female,ews,management,cet,59,79.72,yes,admitted
female,st,commerce,none,0,53.27,no,admitted
male,ews,law,none,0,57.99,no,rejected
other,general,architecture,none,0,72.71,no,rejected
other,obc,nursing,none,0,88.44,no,rejected
other,ews,agriculture,cet,18,56.52,no,admitted
female,general,commerce,none,0,51.41,no,rejected
male,st,law,cet,0,73.51,no,admitted
female,st,engineering,jee,210,56.31,no,admitted
male,obc,management,cet,51,74.58,no,rejected
other,general,engineering,jee,209,53.49,no,rejected
female,general,engineering,cet,69,92.46,no,rejected
male,ews,management,cet,17,61.09,no,rejected
female,general,law,none,0,70.64,no,rejected
other,st,science,none,0,63.14,no,admitted
male,general,computer applications,none,0,82.63,no,admitted
female,obc,computer applications,none,0,56.86,no,rejected
other,general,agriculture,cet,74,65.51,no,rejected
other,st,computer applications,none,0,64.72,no,rejected
female,st,nursing,cet,67,91.83,no,rejected
female,ews,pharmacy,cet,85,63.21,no,rejected
female,st,management,none,0,82.91,yes,admitted
female,st,medical,neet,254,92.4,yes,admitted
male,ews,pharmacy,cet,77,86.29,yes,admitted
male,ews,commerce,cet,129,87.47,yes,admitted
other,st,computer applications,none,0,99.3,no,rejected
female,sc,management,none,0,89.41,no,rejected
female,obc,management,none,0,51.88,no,rejected
female,st,computer applications,cet,78,71.91,yes,admitted
female,general,architecture,none,0,80.82,no,rejected
other,ews,engineering,cet,108,99.53,yes,admitted
female,ews,science,none,0,75.47,no,rejected
female,obc,nursing,cet,46,95.93,no,rejected
female,st,management,none,0,59.93,no,rejected
male,st,nursing,none,0,70.19,no,rejected
male,ews,engineering,cet,187,61.07,no,rejected
male,ews,science,none,0,86.15,yes,admitted
male,st,architecture,cet,192,88.26,no,rejected
male,ews,engineering,jee,42,62.48,no,rejected
male,obc,engineering,jee,255,81.93,no,admitted
other,sc,arts,none,0,86.06,no,rejected
female,general,management,none,0,99.1,yes,admitted
other,ews,nursing,none,0,52.61,no,rejected
female,obc,nursing,cet,118,81.85,no,rejected
other,sc,law,none,0,85.89,no,rejected
other,general,management,none,0,69.66,yes,admitted
other,obc,commerce,none,0,61.29,no,rejected
male,obc,agriculture,cet,161,90.88,yes,admitted
male,sc,architecture,cet,26,55.0,no,rejected
other,sc,medical,neet,498,61.5,no,admitted
female,st,commerce,none,0,85.39,no,rejected
other,obc,nursing,none,0,86.24,no,rejected
other,sc,computer applications,cet,171,53.6,no,admitted
male,general,computer applications,none,0,90.68,no,rejected
female,sc,engineering,jee,105,80.9,no,rejected
female,general,arts,cet,76,52.69,no,rejected
male,st,pharmacy,cet,195,92.64,yes,admitted
female,ews,computer applications,cet,55,82.46,no,rejected
male,sc,medical,neet,579,84.78,no,admitted
other,ews,computer applications,none,0,98.64,yes,admitted
male,obc,architecture,cet,56,65.26,no,rejected
male,ews,pharmacy,cet,96,89.81,yes,admitted
male,sc,agriculture,none,0,97.23,yes,admitted
other,sc,computer applications,none,0,62.36,no,rejected
other,sc,management,none,0,83.27,no,admitted
other,ews,pharmacy,cet,23,74.55,no,rejected
other,st,nursing,none,0,84.16,no,admitted
other,sc,agriculture,none,0,81.04,yes,admitted
female,st,commerce,none,0,73.96,no,rejected
male,sc,computer applications,none,0,75.61,no,rejected
female,ews,pharmacy,cet,179,57.99,no,rejected
male,sc,agriculture,cet,41,95.75,no,rejected
male,ews,arts,none,0,68.03,no,rejected
other,obc,computer applications,none,0,75.29,no,rejected
male,sc,commerce,none,0,78.84,yes,admitted
male,st,nursing,none,0,67.37,no,rejected
female,sc,science,none,0,54.81,no,rejected
male,sc,science,none,0,56.23,no,rejected
other,general,nursing,none,0,71.56,no,rejected
other,ews,commerce,none,0,86.12,no,rejected
female,obc,pharmacy,cet,140,57.73,no,rejected
male,general,law,cet,76,98.06,no,rejected
other,ews,computer applications,none,0,81.85,no,rejected
female,general,science,cet,32,93.08,yes,admitted
male,st,arts,none,0,87.2,no,rejected
other,obc,agriculture,none,0,67.65,no,admitted
other,st,nursing,cet,6,82.64,no,rejected
female,obc,science,none,0,99.53,yes,admitted
female,st,law,cet,26,51.06,no,rejected
other,ews,law,none,0,99.05,yes,admitted
male,sc,pharmacy,cet,101,97.0,yes,admitted
female,sc,pharmacy,cet,37,66.89,yes,admitted
female,st,engineering,jee,55,74.6,no,rejected
female,obc,agriculture,cet,190,71.03,no,rejected
male,sc,science,none,0,71.92,no,rejected
male,st,commerce,none,0,60.18,no,rejected
male,general,computer applications,none,0,85.34,yes,admitted
female,sc,nursing,cet,110,62.0,no,rejected
other,sc,agriculture,cet,13,56.98,no,admitted
male,sc,management,none,0,51.89,no,rejected
other,obc,medical,neet,98,88.05,no,rejected
female,sc,arts,cet,104,79.21,no,admitted
other,obc,commerce,none,0,51.82,no,rejected
male,ews,science,cet,51,97.71,yes,admitted
male,st,agriculture,none,0,66.85,no,rejected
other,st,agriculture,cet,43,95.43,yes,admitted
male,ews,medical,neet,569,79.45,no,rejected
male,general,arts,none,0,86.65,yes,admitted
female,obc,engineering,jee,139,96.59,no,rejected
male,general,computer applications,none,0,95.44,no,rejected
female,st,commerce,cet,198,74.03,no,admitted
female,obc,architecture,cet,134,52.86,no,rejected
male,st,pharmacy,none,0,98.97,no,rejected
female,ews,science,none,0,68.8,no,rejected
male,obc,arts,none,0,67.28,no,rejected
male,obc,medical,neet,250,83.4,yes,admitted
male,sc,medical,neet,582,87.78,no,rejected
male,sc,agriculture,cet,94,79.82,no,rejected
female,obc,arts,none,0,88.22,yes,admitted
female,obc,law,none,0,52.57,no,rejected
male,obc,management,none,0,92.31,yes,admitted
female,sc,agriculture,cet,148,76.75,no,rejected
other,sc,law,none,0,65.73,no,rejected
male,sc,agriculture,cet,88,60.45,no,rejected
male,obc,pharmacy,none,0,79.82,no,admitted
other,st,engineering,jee,0,86.65,yes,admitted
female,sc,nursing,none,0,88.16,no,rejected
male,obc,commerce,none,0,73.87,no,rejected
female,st,management,none,0,57.22,no,rejected
female,ews,agriculture,none,0,73.5,no,rejected
male,obc,computer applications,cet,71,73.87,yes,admitted
male,sc,architecture,cet,42,50.72,no,admitted
other,ews,commerce,none,0,76.85,no,rejected
other,obc,architecture,cet,51,79.48,no,rejected
other,obc,pharmacy,none,0,84.08,no,admitted
male,obc,architecture,cet,78,52.62,no,rejected
other,sc,arts,none,0,60.97,no,rejected
female,sc,management,cet,128,79.3,no,rejected
female,st,law,none,0,89.66,yes,admitted
other,obc,nursing,none,0,58.49,no,rejected
female,sc,medical,neet,591,69.43,no,admitted
male,general,management,cet,47,76.42,no,admitted
male,ews,pharmacy,cet,118,76.01,no,rejected
other,obc,pharmacy,none,0,80.84,no,admitted
female,obc,pharmacy,none,0,73.89,no,rejected
female,general,medical,neet,323,75.76,yes,admitted
female,obc,pharmacy,cet,11,61.66,no,admitted
male,ews,law,none,0,51.39,no,rejected
female,sc,science,none,0,91.3,no,rejected
other,st,nursing,cet,79,71.03,yes,admitted
male,sc,science,none,0,65.29,no,rejected
other,obc,law,none,0,95.37,no,rejected
male,st,arts,none,0,68.13,no,rejected
male,obc,law,cet,143,82.08,no,admitted
male,st,pharmacy,cet,149,52.86,no,rejected
female,ews,architecture,cet,153,71.17,no,rejected
male,general,arts,none,0,55.68,no,admitted
female,general,arts,cet,163,99.53,no,rejected
female,st,management,none,0,88.94,no,rejected
female,general,management,none,0,65.45,no,rejected
other,st,architecture,none,0,96.11,yes,admitted
female,obc,pharmacy,cet,104,97.77,no,rejected
male,sc,medical,neet,15,67.65,no,admitted
other,st,pharmacy,cet,73,78.89,no,admitted
male,obc,science,none,0,71.17,no,rejected
other,ews,engineering,cet,113,91.03,yes,admitted
male,ews,architecture,cet,52,51.42,no,rejected
other,obc,pharmacy,cet,22,51.89,no,rejected
male,st,pharmacy,cet,73,98.37,yes,admitted
female,st,management,none,0,77.79,no,rejected
other,obc,arts,none,0,68.36,yes,admitted
female,ews,arts,none,0,74.41,no,rejected
male,obc,science,cet,17,89.86,yes,admitted
male,obc,engineering,cet,161,59.18,no,admitted
other,st,nursing,cet,67,73.03,no,rejected
female,general,commerce,none,0,90.57,no,rejected
other,ews,law,none,0,71.4,no,admitted
male,obc,agriculture,cet,119,89.43,no,rejected
female,sc,science,cet,14,82.44,no,rejected
female,st,science,cet,94,67.02,no,admitted
other,ews,management,cet,185,97.08,no,rejected
other,st,arts,none,0,78.78,no,admitted
female,obc,commerce,cet,50,80.92,no,admitted
male,st,computer applications,none,0,56.36,no,rejected
other,obc,commerce,none,0,69.82,no,rejected
male,sc,engineering,jee,207,67.74,no,admitted
male,st,computer applications,cet,71,55.29,no,rejected
other,sc,nursing,cet,129,63.47,no,rejected
other,general,agriculture,cet,196,78.9,no,admitted
other,general,medical,neet,121,92.63,no,rejected
male,general,law,cet,25,98.39,no,rejected
other,general,agriculture,cet,170,94.7,no,rejected
female,st,architecture,none,0,67.93,yes,admitted
male,general,commerce,cet,101,91.05,yes,admitted
other,obc,arts,none,0,92.24,yes,admitted
other,obc,commerce,none,0,98.53,no,rejected
female,general,architecture,cet,52,94.22,no,rejected
male,ews,architecture,cet,115,55.48,yes,admitted
male,general,management,cet,52,93.94,no,rejected
female,general,commerce,none,0,50.53,no,rejected
male,obc,management,none,0,75.39,yes,admitted
male,general,law,none,0,85.55,yes,admitted
male,obc,engineering,jee,134,78.8,no,rejected
other,general,computer applications,none,0,71.16,no,rejected
female,obc,medical,neet,634,91.6,yes,admitted
female,general,engineering,cet,71,75.03,no,rejected
female,ews,management,cet,125,90.27,no,rejected
male,st,medical,neet,634,53.51,no,admitted
female,st,pharmacy,cet,133,57.98,yes,admitted
other,sc,arts,none,0,80.33,no,rejected
other,st,nursing,cet,79,78.64,no,rejected
male,ews,commerce,none,0,58.91,no,admitted
male,general,medical,neet,634,94.32,no,rejected
other,sc,medical,neet,320,56.34,no,rejected
other,general,nursing,cet,79,58.37,no,rejected
other,sc,nursing,none,0,88.02,no,rejected
female,ews,medical,neet,453,67.26,no,admitted
female,st,arts,none,0,70.05,yes,admitted
other,st,engineering,cet,54,99.53,no,rejected
other,general,computer applications,cet,97,72.12,no,rejected
other,ews,agriculture,cet,53,54.97,no,rejected
male,st,management,none,0,96.19,no,rejected
other,obc,pharmacy,cet,12,78.73,no,rejected
male,obc,arts,none,0,62.21,no,rejected
male,sc,commerce,cet,39,54.26,no,rejected
female,st,management,cet,137,71.59,no,rejected
female,sc,pharmacy,cet,167,96.48,yes,admitted
female,ews,law,none,0,75.12,no,rejected
other,obc,arts,none,0,73.41,no,rejected
other,st,management,none,0,72.34,no,rejected
other,ews,nursing,cet,40,63.48,no,rejected
male,st,medical,neet,207,72.06,no,rejected
male,obc,computer applications,none,0,57.62,no,rejected
male,sc,law,cet,30,93.37,yes,admitted
female,sc,architecture,cet,23,62.97,no,rejected
other,obc,computer applications,none,0,66.37,no,rejected
other,general,commerce,none,0,81.99,no,admitted
male,general,science,none,0,72.87,no,rejected
male,st,engineering,jee,58,92.43,no,rejected
female,obc,nursing,none,0,51.31,no,rejected
female,st,computer applications,cet,154,64.39,no,rejected
male,st,management,none,0,71.48,no,rejected
other,sc,engineering,jee,228,73.76,no,rejected
male,obc,nursing,none,0,99.53,no,rejected
female,ews,medical,neet,634,64.73,no,rejected
other,general,commerce,none,0,92.68,no,rejected
male,obc,architecture,cet,4,57.84,no,rejected
other,st,engineering,jee,229,85.42,no,rejected
female,ews,computer applications,none,0,89.2,no,rejected
other,sc,nursing,cet,117,60.46,no,rejected
female,st,arts,none,0,55.66,no,rejected
other,obc,medical,neet,239,77.57,yes,admitted
female,ews,architecture,none,0,83.87,no,rejected
male,sc,computer applications,none,0,95.67,no,rejected
other,st,nursing,none,0,80.78,yes,admitted
other,general,commerce,none,0,69.27,no,admitted
female,sc,commerce,none,0,95.59,yes,admitted
other,st,engineering,cet,33,73.24,no,rejected
other,sc,engineering,cet,34,58.69,no,rejected
female,ews,management,none,0,98.06,no,rejected
other,ews,science,cet,101,73.03,no,rejected
female,general,commerce,cet,157,67.58,no,rejected
